basis,conduct,max_fixed_eur,max_turnover_pct,rule,who,quote,url
Art. 99(3),non-compliance with the prohibition of the AI practices referred to in Article 5,35000000,7,whichever is higher,operators; undertakings are subject to the turnover alternative,"administrative fines of up to EUR 35 000 000 or, if the offender is an undertaking, up to 7 % of its total worldwide annual turnover",https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_99
Art. 99(4),non-compliance with listed operator or notified-body obligations other than Article 5,15000000,3,whichever is higher,"providers, authorised representatives, importers, distributors, deployers and notified bodies","administrative fines of up to EUR 15 000 000 or, if the offender is an undertaking, up to 3 % of its total worldwide annual turnover",https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_99
Art. 99(5),"supply of incorrect, incomplete or misleading information to notified bodies or national competent authorities in reply to a request",7500000,1,whichever is higher,operators or other addressees responding to notified bodies or national competent authorities; undertakings are subject to the turnover alternative,"administrative fines of up to EUR 7 500 000 or, if the offender is an undertaking, up to 1 % of its total worldwide annual turnover",https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_99
Art. 99(6),SME/start-up cap for each fine referred to in Article 99,,,whichever is lower (SMEs),"SMEs, including start-ups","each fine referred to in this Article shall be up to the percentages or amount referred to in paragraphs 3, 4 and 5, whichever thereof is lower",https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_99
Art. 100(2),"non-compliance by Union institutions, bodies, offices and agencies with the prohibition of the AI practices referred to in Article 5",1500000,,whichever is higher,"Union institutions, bodies, offices and agencies falling within the scope of the Regulation; EDPS imposes the fine",Non-compliance with the prohibition of the AI practices referred to in Article 5 shall be subject to administrative fines of up to EUR 1 500 000.,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_100
Art. 100(3),"non-compliance by Union institutions, bodies, offices and agencies with any other AI-system requirements or obligations under the Regulation",750000,,whichever is higher,"Union institutions, bodies, offices and agencies falling within the scope of the Regulation; EDPS imposes the fine","non-compliance of the AI system with any requirements or obligations under this Regulation, other than those laid down in Article 5",https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_100
Art. 101(1),"intentional or negligent infringement by providers of general-purpose AI models of relevant provisions, information/document requests, requested measures, or access for evaluations",15000000,3,whichever is higher,providers of general-purpose AI models; Commission imposes the fine,"fines not exceeding 3 % of their annual total worldwide turnover in the preceding financial year or EUR 15 000 000, whichever is higher",https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_101
Art. 99(6a),any infringement referred to in Article 99(4) or (5) committed by a small mid-cap enterprise (SMC),,,whichever is lower (SMCs) — inserted by Regulation (EU) 2026/1744,"small mid-cap enterprises (SMCs), Art. 3(14b)","""In the case of SMCs, each fine referred to in paragraphs 4 and 5 shall be up to the percentages or amount referred therein, whichever is lower. 7. When deciding whether to impose an administrative fine and when deciding on""",https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_99
Art. 75c(4),non-compliance found by the AI Office in respect of operators within its competence under Article 75(1) (certain AI systems built on general-purpose models or embedded in very large online platforms and search engines),,,"Article 99(3)–(7) tiers apply mutatis mutandis, imposed by the AI Office — inserted by Regulation (EU) 2026/1744",operators subject to AI Office supervision under Art. 75(1),"""A decision adopted pursuant to paragraph 1 of this Article may be accompanied by the imposition of penalties in accordance with Article 99(3) to (7), which provisions shall apply mutatis mutandis to the AI Office in the execution of its supervision and enforcement tasks referred""",https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_75c
